4OR-A Quarterly Journal of Operations Research,管理科学 ,4区,OPERATIONS RESEARCH & MANAGEMENT SCIENCE;运筹学与管理科学;1区;3区;4区,否,否,管理学 ,4区,OPERATIONS RESEARCH & MANAGEMENT SCIENCE;运筹学与管理科学;1区;3区;4区,否,否
Environmental Earth Sciences,注：经核实，2016年发布的JCR数据库确实没有这个期刊的名字,LetPub助力作者发表在《ENVIRON EARTH SCI》上的文章案例，致谢部分提及LetPub---1篇,环境科学与生态学 ,4区,ENVIRONMENTAL SCIENCES;环境科学;1区;3区;4区;GEOSCIENCES& MULTIDISCIPLINARY;地球科学综合;2区;3区;4区;WATER RESOURCES;水资源;3区;2区;4区,否,否,环境科学与生态学 ,4区,ENVIRONMENTAL SCIENCES;环境科学;1区;3区;4区;GEOSCIENCES& MULTIDISCIPLINARY;地球科学综合;2区;3区;4区;WATER RESOURCES;水资源;3区;2区;4区,否,否
Environmental Engineering and Management Journal,环境科学与生态学 ,4区,ENVIRONMENTAL SCIENCES;环境科学;1区;1区;4区,否,否,环境科学与生态学 ,4区,ENVIRONMENTAL SCIENCES;环境科学;1区;1区;4区,否,否
ENVIRONMENTAL ENGINEERING SCIENCE,环境科学与生态学 ,4区,ENGINEERING& ENVIRONMENTAL;工程：环境;2区;4区;4区;ENVIRONMENTAL SCIENCES;环境科学;4区;2区;4区,否,否,环境科学与生态学 ,4区,ENGINEERING& ENVIRONMENTAL;工程：环境;2区;4区;4区;ENVIRONMENTAL SCIENCES;环境科学;4区;2区;4区,否,否
ENVIRONMENTAL ENTOMOLOGY,期刊ENVIRONMENTAL ENTOMOLOGY推荐LetPub的编辑服务,农林科学 ,3区,ENTOMOLOGY;昆虫学;3区;1区;3区,否,否,农林科学 ,3区,ENTOMOLOGY;昆虫学;3区;1区;3区,否,否
ENVIRONMENTAL FLUID MECHANICS,工程技术 ,4区,ENVIRONMENTAL SCIENCES;环境科学;1区;3区;4区;MECHANICS;力学;4区;2区;4区;METEOROLOGY & ATMOSPHERIC SCIENCES;气象与大气科学;3区;1区;4区;OCEANOGRAPHY;海洋学;2区;1区;4区;WATER RESOURCES;水资源;4区;2区;4区,否,否,工程技术 ,3区,ENVIRONMENTAL SCIENCES;环境科学;1区;3区;4区;MECHANICS;力学;4区;2区;4区;METEOROLOGY & ATMOSPHERIC SCIENCES;气象与大气科学;3区;1区;4区;OCEANOGRAPHY;海洋学;2区;1区;4区;WATER RESOURCES;水资源;4区;2区;4区,否,否
ENVIRONMENTAL FORENSICS,环境科学与生态学 ,4区,ENVIRONMENTAL SCIENCES;环境科学;2区;3区;4区,否,否,环境科学与生态学 ,4区,ENVIRONMENTAL SCIENCES;环境科学;2区;3区;4区,否,否
ENVIRONMENTAL GEOCHEMISTRY AND HEALTH,环境科学与生态学 ,3区,ENGINEERING& ENVIRONMENTAL;工程：环境;1区;2区;3区;ENVIRONMENTAL SCIENCES;环境科学;1区;3区;3区;PUBLIC& ENVIRONMENTAL & OCCUPATIONAL HEALTH;公共卫生、环境卫生与职业卫生;3区;3区;2区;WATER RESOURCES;水资源;2区;1区;2区,否,否,环境科学与生态学 ,3区,ENGINEERING& ENVIRONMENTAL;工程：环境;1区;2区;3区;ENVIRONMENTAL SCIENCES;环境科学;1区;3区;3区;PUBLIC& ENVIRONMENTAL & OCCUPATIONAL HEALTH;公共卫生、环境卫生与职业卫生;3区;3区;2区;WATER RESOURCES;水资源;2区;1区;2区,否,否
Environmental Health,环境科学与生态学 ,2区,ENVIRONMENTAL SCIENCES;环境科学;4区;4区;2区;PUBLIC& ENVIRONMENTAL & OCCUPATIONAL HEALTH;公共卫生、环境卫生与职业卫生;3区;4区;2区,否,否,环境科学与生态学 ,2区,ENVIRONMENTAL SCIENCES;环境科学;4区;4区;2区;PUBLIC& ENVIRONMENTAL & OCCUPATIONAL HEALTH;公共卫生、环境卫生与职业卫生;3区;4区;2区,否,否
ENVIRONMENTAL HEALTH PERSPECTIVES,环境科学与生态学 ,1区,ENVIRONMENTAL SCIENCES;环境科学;3区;4区;1区;PUBLIC& ENVIRONMENTAL & OCCUPATIONAL HEALTH;公共卫生、环境卫生与职业卫生;4区;1区;1区;TOXICOLOGY;毒理学;2区;1区;1区,是,否,环境科学与生态学 ,1区,ENVIRONMENTAL SCIENCES;环境科学;3区;4区;1区;PUBLIC& ENVIRONMENTAL & OCCUPATIONAL HEALTH;公共卫生、环境卫生与职业卫生;4区;1区;1区;TOXICOLOGY;毒理学;2区;1区;1区,是,否
ENVIRONMENTAL MANAGEMENT,环境科学与生态学 ,3区,ENVIRONMENTAL SCIENCES;环境科学;4区;4区;4区,否,否,环境科学与生态学 ,3区,ENVIRONMENTAL SCIENCES;环境科学;4区;4区;4区,否,否
ENVIRONMENTAL MICROBIOLOGY,近期发表在《ENVIRONMENTAL MICROBIOLOGY》的修改范例,LetPub助力作者发表在《ENVIRON MICROBIOL》上的文章案例，致谢部分提及LetPub---1篇,生物 ,2区,MICROBIOLOGY;微生物学;1区;3区;2区,否,否,生物学 ,2区,MICROBIOLOGY;微生物学;1区;3区;2区,否,否
ENVIRONMENTAL MODELING & ASSESSMENT,环境科学与生态学 ,4区,ENVIRONMENTAL SCIENCES;环境科学;1区;2区;4区,否,否,环境科学与生态学 ,4区,ENVIRONMENTAL SCIENCES;环境科学;1区;2区;4区,否,否
ENVIRONMENTAL MODELLING & SOFTWARE,环境科学与生态学 ,2区,COMPUTER SCIENCE& INTERDISCIPLINARY APPLICATIONS;计算机：跨学科应用;4区;2区;2区;ENGINEERING& ENVIRONMENTAL;工程：环境;4区;2区;3区;ENVIRONMENTAL SCIENCES;环境科学;1区;1区;2区,否,否,环境科学与生态学 ,2区,COMPUTER SCIENCE& INTERDISCIPLINARY APPLICATIONS;计算机：跨学科应用;4区;2区;2区;ENGINEERING& ENVIRONMENTAL;工程：环境;4区;2区;3区;ENVIRONMENTAL SCIENCES;环境科学;1区;1区;2区,否,否
ENVIRONMENTAL MONITORING AND ASSESSMENT,LetPub助力作者发表在《ENVIRON MONIT ASSESS》上的文章案例，致谢部分提及LetPub---1篇,环境科学与生态学 ,4区,ENVIRONMENTAL SCIENCES;环境科学;3区;1区;4区,否,否,环境科学与生态学 ,4区,ENVIRONMENTAL SCIENCES;环境科学;3区;1区;4区,否,否
ENVIRONMENTAL POLLUTION,经LetPub修改润色后发表在《ENVIRON POLLUT》上，作者来信感谢的范例---1篇,LetPub助力作者发表在《ENVIRON POLLUT》上的文章案例，致谢部分提及LetPub---1篇,环境科学与生态学 ,2区,ENVIRONMENTAL SCIENCES;环境科学;3区;2区;2区,是,否,环境科学与生态学 ,2区,ENVIRONMENTAL SCIENCES;环境科学;3区;2区;2区,是,否
Environmental Progress & Sustainable Energy,环境科学与生态学 ,4区,ENGINEERING& CHEMICAL;工程：化工;2区;1区;4区;ENGINEERING& ENVIRONMENTAL;工程：环境;1区;4区;4区;ENVIRONMENTAL SCIENCES;环境科学;2区;4区;4区;GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY;绿色可持续发展技术;4区;2区;4区,否,否,环境科学与生态学 ,4区,ENGINEERING& CHEMICAL;工程：化工;2区;1区;4区;ENGINEERING& ENVIRONMENTAL;工程：环境;1区;4区;4区;ENVIRONMENTAL SCIENCES;环境科学;2区;4区;4区;GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY;绿色可持续发展技术;4区;2区;4区,否,否
ENVIRONMENTAL RESEARCH,环境科学与生态学 ,2区,ENVIRONMENTAL SCIENCES;环境科学;3区;3区;2区;PUBLIC& ENVIRONMENTAL & OCCUPATIONAL HEALTH;公共卫生、环境卫生与职业卫生;4区;4区;2区,否,否,环境科学与生态学 ,2区,ENVIRONMENTAL SCIENCES;环境科学;3区;3区;2区;PUBLIC& ENVIRONMENTAL & OCCUPATIONAL HEALTH;公共卫生、环境卫生与职业卫生;4区;4区;2区,是,否
Environmental Research Letters,经LetPub修改润色后发表在《ENVIRON RES LETT》上，作者来信感谢的范例---1篇,环境科学与生态学 ,2区,ENVIRONMENTAL SCIENCES;环境科学;1区;4区;2区;METEOROLOGY & ATMOSPHERIC SCIENCES;气象与大气科学;2区;1区;2区,否,否,环境科学与生态学 ,2区,ENVIRONMENTAL SCIENCES;环境科学;1区;4区;2区;METEOROLOGY & ATMOSPHERIC SCIENCES;气象与大气科学;2区;1区;2区,是,否
ENVIRONMENTAL REVIEWS,环境科学与生态学 ,3区,ENVIRONMENTAL SCIENCES;环境科学;3区;2区;3区,否,是,环境科学与生态学 ,2区,ENVIRONMENTAL SCIENCES;环境科学;3区;2区;3区,否,是
ENVIRONMENTAL SCIENCE & POLICY,环境科学与生态学 ,2区,ENVIRONMENTAL SCIENCES;环境科学;1区;3区;2区,否,否,环境科学与生态学 ,2区,ENVIRONMENTAL SCIENCES;环境科学;1区;3区;2区,否,否
ENVIRONMENTAL SCIENCE & TECHNOLOGY,经LetPub修改润色后发表在《ENVIRON SCI TECHNOL》上，作者来信感谢的范例---1篇,环境科学与生态学 ,1区,ENGINEERING& ENVIRONMENTAL;工程：环境;4区;4区;2区;ENVIRONMENTAL SCIENCES;环境科学;3区;4区;1区,是,否,环境科学与生态学 ,1区,ENGINEERING& ENVIRONMENTAL;工程：环境;4区;4区;2区;ENVIRONMENTAL SCIENCES;环境科学;3区;4区;1区,是,否
ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,LetPub助力作者发表在《ENVIRON SCI POLLUT R》上的文章案例，致谢部分提及LetPub---6篇,环境科学与生态学 ,3区,ENVIRONMENTAL SCIENCES;环境科学;4区;1区;3区,否,否,环境科学与生态学 ,3区,ENVIRONMENTAL SCIENCES;环境科学;4区;1区;3区,否,否
ENVIRONMENTAL TECHNOLOGY,环境科学与生态学 ,4区,ENVIRONMENTAL SCIENCES;环境科学;3区;3区;4区,否,否,环境科学与生态学 ,4区,ENVIRONMENTAL SCIENCES;环境科学;3区;3区;4区,否,否
ENVIRONMENTAL TOXICOLOGY,医学 ,3区,ENVIRONMENTAL SCIENCES;环境科学;4区;4区;3区;TOXICOLOGY;毒理学;3区;4区;3区;WATER RESOURCES;水资源;1区;1区;2区,否,否,医学 ,3区,ENVIRONMENTAL SCIENCES;环境科学;4区;4区;3区;TOXICOLOGY;毒理学;3区;4区;3区;WATER RESOURCES;水资源;1区;1区;2区,否,否
ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY,环境科学与生态学 ,3区,ENVIRONMENTAL SCIENCES;环境科学;1区;2区;3区;TOXICOLOGY;毒理学;3区;2区;3区,否,否,环境科学与生态学 ,3区,ENVIRONMENTAL SCIENCES;环境科学;1区;2区;3区;TOXICOLOGY;毒理学;3区;2区;3区,否,否
ENVIRONMENTAL TOXICOLOGY AND PHARMACOLOGY,环境科学与生态学 ,3区,ENVIRONMENTAL SCIENCES;环境科学;2区;1区;3区;PHARMACOLOGY & PHARMACY;药学;3区;2区;3区;TOXICOLOGY;毒理学;4区;1区;3区,否,否,环境科学与生态学 ,3区,ENVIRONMENTAL SCIENCES;环境科学;2区;1区;3区;PHARMACOLOGY & PHARMACY;药学;3区;2区;3区;TOXICOLOGY;毒理学;4区;1区;3区,否,否
ENVIRONMETRICS,环境科学与生态学 ,4区,ENVIRONMENTAL SCIENCES;环境科学;3区;4区;4区;MATHEMATICS& INTERDISCIPLINARY APPLICATIONS;数学跨学科应用;2区;2区;3区;STATISTICS & PROBABILITY;统计学与概率论;3区;1区;3区,否,否,环境科学与生态学 ,3区,ENVIRONMENTAL SCIENCES;环境科学;3区;4区;4区;MATHEMATICS& INTERDISCIPLINARY APPLICATIONS;数学跨学科应用;2区;2区;3区;STATISTICS & PROBABILITY;统计学与概率论;3区;1区;3区,否,否
Environnement Risques & Sante,
ENZYME AND MICROBIAL TECHNOLOGY,工程技术 ,3区,BIOTECHNOLOGY & APPLIED MICROBIOLOGY;生物工程与应用微生物;3区;3区;3区,否,否,工程技术 ,3区,BIOTECHNOLOGY & APPLIED MICROBIOLOGY;生物工程与应用微生物;3区;3区;3区,否,否
EPE Journal,工程技术 ,4区,ENGINEERING& ELECTRICAL & ELECTRONIC;工程：电子与电气;4区;4区;4区,否,否,工程技术 ,4区,ENGINEERING& ELECTRICAL & ELECTRONIC;工程：电子与电气;4区;4区;4区,否,否
Epidemiologia & Prevenzione,医学 ,4区,PUBLIC& ENVIRONMENTAL & OCCUPATIONAL HEALTH;公共卫生、环境卫生与职业卫生;2区;1区;4区,否,否,医学 ,4区,PUBLIC& ENVIRONMENTAL & OCCUPATIONAL HEALTH;公共卫生、环境卫生与职业卫生;2区;1区;4区,否,否
EPIDEMIOLOGIC REVIEWS,期刊EPIDEMIOLOGIC REVIEWS推荐LetPub的编辑服务,医学 ,2区,PUBLIC& ENVIRONMENTAL & OCCUPATIONAL HEALTH;公共卫生、环境卫生与职业卫生;1区;1区;1区,是,是,医学 ,1区,PUBLIC& ENVIRONMENTAL & OCCUPATIONAL HEALTH;公共卫生、环境卫生与职业卫生;1区;1区;1区,是,是
EPIDEMIOLOGIE MIKROBIOLOGIE IMUNOLOGIE,医学 ,4区,MICROBIOLOGY;微生物学;2区;3区;4区,否,否,医学 ,4区,MICROBIOLOGY;微生物学;2区;3区;4区,否,否
EPIDEMIOLOGY,医学 ,2区,PUBLIC& ENVIRONMENTAL & OCCUPATIONAL HEALTH;公共卫生、环境卫生与职业卫生;3区;4区;1区,是,否,医学 ,2区,PUBLIC& ENVIRONMENTAL & OCCUPATIONAL HEALTH;公共卫生、环境卫生与职业卫生;3区;4区;1区,否,否
EPIDEMIOLOGY AND INFECTION,医学 ,4区,INFECTIOUS DISEASES;传染病学;4区;2区;4区;PUBLIC& ENVIRONMENTAL & OCCUPATIONAL HEALTH;公共卫生、环境卫生与职业卫生;1区;2区;3区,否,否,医学 ,3区,INFECTIOUS DISEASES;传染病学;4区;2区;4区;PUBLIC& ENVIRONMENTAL & OCCUPATIONAL HEALTH;公共卫生、环境卫生与职业卫生;1区;2区;3区,否,否
Epigenetics,生物 ,2区,BIOCHEMISTRY & MOLECULAR BIOLOGY;生化与分子生物学;4区;3区;2区;GENETICS & HEREDITY;遗传学;2区;3区;2区,否,否,生物学 ,2区,BIOCHEMISTRY & MOLECULAR BIOLOGY;生化与分子生物学;4区;3区;2区;GENETICS & HEREDITY;遗传学;2区;3区;2区,否,否
EPILEPSIA,医学 ,2区,CLINICAL NEUROLOGY;临床神经病学;2区;1区;2区,是,否,医学 ,1区,CLINICAL NEUROLOGY;临床神经病学;2区;1区;2区,是,否
Epilepsies,
EPILEPSY & BEHAVIOR,医学 ,3区,BEHAVIORAL SCIENCES;行为科学;1区;2区;3区;CLINICAL NEUROLOGY;临床神经病学;3区;1区;4区;PSYCHIATRY;精神病学;4区;2区;4区,否,否,医学 ,3区,BEHAVIORAL SCIENCES;行为科学;1区;2区;3区;CLINICAL NEUROLOGY;临床神经病学;3区;1区;4区;PSYCHIATRY;精神病学;4区;2区;4区,否,否
EPILEPSY RESEARCH,经LetPub修改润色后发表在《EPILEPSY RES》上，作者来信感谢的范例---1篇,LetPub助力作者发表在《EPILEPSY RES》上的文章案例，致谢部分提及LetPub---1篇,医学 ,3区,CLINICAL NEUROLOGY;临床神经病学;4区;3区;4区,否,否,医学 ,3区,CLINICAL NEUROLOGY;临床神经病学;4区;3区;4区,否,否
EPILEPTIC DISORDERS,医学 ,4区,CLINICAL NEUROLOGY;临床神经病学;4区;4区;4区,否,否,医学 ,4区,CLINICAL NEUROLOGY;临床神经病学;4区;4区;4区,否,否
EPISODES,地学 ,4区,GEOSCIENCES& MULTIDISCIPLINARY;地球科学综合;2区;1区;4区,否,否,地球科学 ,4区,GEOSCIENCES& MULTIDISCIPLINARY;地球科学综合;2区;1区;4区,否,否
Epistemologia,
EPL,物理 ,3区,PHYSICS& MULTIDISCIPLINARY;物理：综合;2区;2区;3区,否,否,物理与天体物理 ,3区,PHYSICS& MULTIDISCIPLINARY;物理：综合;2区;2区;3区,否,否
EQUINE VETERINARY EDUCATION,农林科学 ,4区,VETERINARY SCIENCES;兽医学;4区;3区;4区,否,否,农林科学 ,3区,VETERINARY SCIENCES;兽医学;4区;3区;4区,否,否
EQUINE VETERINARY JOURNAL,农林科学 ,2区,VETERINARY SCIENCES;兽医学;3区;3区;2区,否,否,农林科学 ,1区,VETERINARY SCIENCES;兽医学;3区;3区;2区,是,否
ERDE,地学 ,4区,GEOGRAPHY& PHYSICAL;自然地理;4区;1区;4区;GEOSCIENCES& MULTIDISCIPLINARY;地球科学综合;3区;2区;4区,否,否,地球科学 ,4区,GEOGRAPHY& PHYSICAL;自然地理;4区;1区;4区;GEOSCIENCES& MULTIDISCIPLINARY;地球科学综合;3区;2区;4区,否,否
Erdkunde,地学 ,4区,GEOGRAPHY& PHYSICAL;自然地理;4区;4区;4区,否,否,法学 ,4区,GEOGRAPHY& PHYSICAL;自然地理;4区;4区;4区,否,否
ERGODIC THEORY AND DYNAMICAL SYSTEMS,数学 ,3区,MATHEMATICS;数学;1区;2区;3区;MATHEMATICS& APPLIED;应用数学;1区;3区;4区,否,否,数学 ,2区,MATHEMATICS;数学;1区;2区;3区;MATHEMATICS& APPLIED;应用数学;1区;3区;4区,否,否
ERGONOMICS,工程技术 ,3区,ENGINEERING& INDUSTRIAL;工程：工业;2区;4区;4区;PSYCHOLOGY;心理学;1区;2区;4区,否,否,工程技术 ,3区,ENGINEERING& INDUSTRIAL;工程：工业;2区;4区;4区;PSYCHOLOGY;心理学;1区;2区;4区,否,否
ERNAHRUNGS UMSCHAU,医学 ,4区,NUTRITION & DIETETICS;营养学;2区;2区;4区,否,否,医学 ,4区,NUTRITION & DIETETICS;营养学;2区;2区;4区,否,否
Erwerbs-Obstbau,农林科学 ,4区,HORTICULTURE;园艺;1区;4区;4区,否,否,农林科学 ,4区,HORTICULTURE;园艺;1区;4区;4区,否,否
ESA BULLETIN-EUROPEAN SPACE AGENCY,工程技术 ,4区,ENGINEERING& AEROSPACE;工程：宇航;2区;1区;4区,否,否,工程技术 ,4区,ENGINEERING& AEROSPACE;工程：宇航;2区;1区;4区,否,否
ESAIM-CONTROL OPTIMISATION AND CALCULUS OF VARIATIONS,数学 ,2区,AUTOMATION & CONTROL SYSTEMS;自动化与控制系统;2区;2区;4区;MATHEMATICS& APPLIED;应用数学;4区;2区;3区,否,否,数学 ,3区,AUTOMATION & CONTROL SYSTEMS;自动化与控制系统;2区;2区;4区;MATHEMATICS& APPLIED;应用数学;4区;2区;3区,否,否
ESAIM-MATHEMATICAL MODELLING AND NUMERICAL ANALYSIS-MODELISATION MATHEMATIQUE ET ANALYSE NUMERIQUE,数学 ,2区,MATHEMATICS& APPLIED;应用数学;3区;2区;2区,否,否,数学 ,3区,MATHEMATICS& APPLIED;应用数学;3区;2区;2区,否,否
Essays in Biochemistry,生物 ,3区,BIOCHEMISTRY & MOLECULAR BIOLOGY;生化与分子生物学;3区;1区;3区,否,是,生物学 ,2区,BIOCHEMISTRY & MOLECULAR BIOLOGY;生化与分子生物学;3区;1区;3区,否,是
Estonian Journal of Earth Sciences,地学 ,4区,GEOSCIENCES& MULTIDISCIPLINARY;地球科学综合;2区;3区;4区,否,否,地球科学 ,4区,GEOSCIENCES& MULTIDISCIPLINARY;地球科学综合;2区;3区;4区,否,否
Estuaries and Coasts,LetPub助力作者发表在《ESTUAR COAST》上的文章案例，致谢部分提及LetPub---1篇,环境科学与生态学 ,3区,ENVIRONMENTAL SCIENCES;环境科学;3区;2区;3区;MARINE & FRESHWATER BIOLOGY;海洋与淡水生物学;1区;2区;2区,否,否,环境科学与生态学 ,3区,ENVIRONMENTAL SCIENCES;环境科学;3区;2区;3区;MARINE & FRESHWATER BIOLOGY;海洋与淡水生物学;1区;2区;2区,否,否
ESTUARINE COASTAL AND SHELF SCIENCE,经LetPub修改润色后发表在《ESTUAR COAST SHELF S》上，作者来信感谢的范例---2篇,LetPub助力作者发表在《ESTUAR COAST SHELF S》上的文章案例，致谢部分提及LetPub---1篇,地学 ,3区,MARINE & FRESHWATER BIOLOGY;海洋与淡水生物学;4区;4区;2区;OCEANOGRAPHY;海洋学;4区;4区;2区,否,否,地球科学 ,3区,MARINE & FRESHWATER BIOLOGY;海洋与淡水生物学;4区;4区;2区;OCEANOGRAPHY;海洋学;4区;4区;2区,否,否
ESTUDIOS GEOLOGICOS-MADRID,地学 ,4区,GEOLOGY;地质学;4区;4区;4区,否,否,地球科学 ,4区,GEOLOGY;地质学;4区;4区;4区,否,否
Ethik in der Medizin,医学 ,4区,MEDICAL ETHICS;医学：伦理;3区;1区;4区,否,否,人文科学 ,4区,MEDICAL ETHICS;医学：伦理;3区;1区;4区,否,否
Ethiopian Journal of Health Development,医学 ,4区,PUBLIC& ENVIRONMENTAL & OCCUPATIONAL HEALTH;公共卫生、环境卫生与职业卫生;3区;4区;4区,否,否,医学 ,4区,PUBLIC& ENVIRONMENTAL & OCCUPATIONAL HEALTH;公共卫生、环境卫生与职业卫生;3区;4区;4区,否,否
ETHNICITY & DISEASE,医学 ,4区,PUBLIC& ENVIRONMENTAL & OCCUPATIONAL HEALTH;公共卫生、环境卫生与职业卫生;1区;3区;4区,否,否,医学 ,4区,PUBLIC& ENVIRONMENTAL & OCCUPATIONAL HEALTH;公共卫生、环境卫生与职业卫生;1区;3区;4区,否,否
ETHNICITY & HEALTH,医学 ,4区,PUBLIC& ENVIRONMENTAL & OCCUPATIONAL HEALTH;公共卫生、环境卫生与职业卫生;3区;2区;3区,否,否,医学 ,4区,PUBLIC& ENVIRONMENTAL & OCCUPATIONAL HEALTH;公共卫生、环境卫生与职业卫生;3区;2区;3区,否,否
ETHOLOGY,LetPub助力作者发表在《ETHOLOGY》上的文章案例，致谢部分提及LetPub---1篇,生物 ,4区,BEHAVIORAL SCIENCES;行为科学;4区;3区;4区;ZOOLOGY;动物学;4区;1区;3区,否,否,生物学 ,3区,BEHAVIORAL SCIENCES;行为科学;4区;3区;4区;ZOOLOGY;动物学;4区;1区;3区,否,否
ETHOLOGY ECOLOGY & EVOLUTION,生物 ,4区,BEHAVIORAL SCIENCES;行为科学;3区;2区;4区;ZOOLOGY;动物学;4区;4区;3区,否,否,生物学 ,4区,BEHAVIORAL SCIENCES;行为科学;3区;2区;4区;ZOOLOGY;动物学;4区;4区;3区,否,否
ETRI JOURNAL,工程技术 ,4区,ENGINEERING& ELECTRICAL & ELECTRONIC;工程：电子与电气;4区;4区;4区;TELECOMMUNICATIONS;电信学;4区;3区;4区,否,否,计算机科学 ,4区,ENGINEERING& ELECTRICAL & ELECTRONIC;工程：电子与电气;4区;4区;4区;TELECOMMUNICATIONS;电信学;4区;3区;4区,否,否
EUKARYOTIC CELL,期刊Eukaryotic Cell推荐LetPub论文编辑,
EUPHYTICA,经LetPub修改润色后发表在《EUPHYTICA》上，作者来信感谢的范例---2篇,LetPub助力作者发表在《EUPHYTICA》上的文章案例，致谢部分提及LetPub---2篇,农林科学 ,3区,AGRONOMY;农艺学;1区;3区;3区;HORTICULTURE;园艺;1区;3区;3区;PLANT SCIENCES;植物科学;2区;2区;4区,否,否,农林科学 ,3区,AGRONOMY;农艺学;1区;3区;3区;HORTICULTURE;园艺;1区;3区;3区;PLANT SCIENCES;植物科学;2区;2区;4区,否,否
EURASIAN SOIL SCIENCE,农林科学 ,4区,SOIL SCIENCE;土壤科学;2区;4区;4区,否,否,农林科学 ,4区,SOIL SCIENCE;土壤科学;2区;4区;4区,否,否
EURASIP Journal on Advances in Signal Processing,工程技术 ,4区,ENGINEERING& ELECTRICAL & ELECTRONIC;工程：电子与电气;3区;3区;4区,否,否,工程技术 ,4区,ENGINEERING& ELECTRICAL & ELECTRONIC;工程：电子与电气;3区;3区;4区,否,否
EURASIP Journal on Wireless Communications and Networking,工程技术 ,3区,ENGINEERING& ELECTRICAL & ELECTRONIC;工程：电子与电气;4区;2区;4区;TELECOMMUNICATIONS;电信学;2区;4区;4区,否,否,计算机科学 ,4区,ENGINEERING& ELECTRICAL & ELECTRONIC;工程：电子与电气;4区;2区;4区;TELECOMMUNICATIONS;电信学;2区;4区;4区,否,否
EUROPACE,期刊EUROPACE推荐LetPub的编辑服务,医学 ,2区,CARDIAC & CARDIOVASCULAR SYSTEMS;心脏和心血管系统;4区;4区;2区,否,否,医学 ,2区,CARDIAC & CARDIOVASCULAR SYSTEMS;心脏和心血管系统;4区;4区;2区,否,否
EUROPEAN ARCHIVES OF OTO-RHINO-LARYNGOLOGY,近期经LetPub修改并发表在《EUR ARCH OTO-RHINO-L》的论文范例,医学 ,4区,OTORHINOLARYNGOLOGY;耳鼻喉科学;3区;1区;3区,否,否,医学 ,3区,OTORHINOLARYNGOLOGY;耳鼻喉科学;3区;1区;3区,否,否
EUROPEAN ARCHIVES OF PSYCHIATRY AND CLINICAL NEUROSCIENCE,医学 ,3区,CLINICAL NEUROLOGY;临床神经病学;2区;2区;3区;PSYCHIATRY;精神病学;3区;2区;3区,否,否,医学 ,3区,CLINICAL NEUROLOGY;临床神经病学;2区;2区;3区;PSYCHIATRY;精神病学;3区;2区;3区,否,否
EUROPEAN BIOPHYSICS JOURNAL WITH BIOPHYSICS LETTERS,生物 ,4区,BIOPHYSICS;生物物理;3区;4区;4区,否,否,生物学 ,4区,BIOPHYSICS;生物物理;3区;4区;4区,否,否
